Unicode;Type;Alphabetical Order;Symbol;Canonical Example;RTGS;Meaning;RGTS (Initial);RGTS (Final);IPA (Initial);IPA (Final);Class;Long or Short;Obsolete?;Notes;Consonant Ending;Dead or Live;Type;Grapheme position
U+0E00;Non-assigned;;;;;;;;;;;;;;;;;
U+0E01;Consonant;1;ก;ไก่;ko kai;chicken;k;k;[k];[k̚];mid;;;;k;Dead;plosive;
U+0E02;Consonant;2;ข;ไข่;kho khai;egg;kh;k;[kʰ];[k̚];high;;;;k;Dead;plosive;
U+0E03;Consonant;3;ฃ;ขวด;kho khuat;bottle (obsolete);kh;k;[kʰ];[k̚];high;;Yes;;Obsolete;;;
U+0E04;Consonant;4;ค;ควาย;kho khwai;buffalo;kh;k;[kʰ];[k̚];low;;;;k;Dead;plosive;
U+0E05;Consonant;5;ฅ;คน;kho khon;person (obsolete);kh;k;[kʰ];[k̚];low;;Yes;;Obsolete;;;
U+0E06;Consonant;6;ฆ;ระฆัง;kho ra-khang;bell;kh;k;[kʰ];[k̚];low;;;;k;Dead;plosive;
U+0E07;Consonant;7;ง;งู;ngo ngu;snake;ng;ng;[ŋ];[ŋ];low;;;;ng;Live;sonorant;
U+0E08;Consonant;8;จ;จาน;cho chan;plate;ch;t;[tɕ];[t̚];mid;;;;t;Dead;plosive;
U+0E09;Consonant;9;ฉ;ฉิ่ง;cho ching;cymbals;ch; –;[tɕʰ];–;high;;;;Invalid;Invalid;Invalid;
U+0E0A;Consonant;10;ช;ช้าง;cho chang;elephant;ch;t;[tɕʰ];[t̚];low;;;;t;Dead;plosive;
U+0E0B;Consonant;11;ซ;โซ่;so so;chain;s;t;[s];[t̚];low;;;;UNKNOWN;;;
U+0E0C;Consonant;12;ฌ;เฌอ;cho choe;tree;ch; –;[tɕʰ];–;low;;;;t;Dead;plosive;
U+0E0D;Consonant;13;ญ;หญิง;yo ying;woman;y;n;[j];[n];low;;;;n;Live;sonorant;
U+0E0E;Consonant;14;ฎ;ชฎา;do cha-da;headdress;d;t;[d];[t̚];mid;;;;t;Dead;plosive;
U+0E0F;Consonant;15;ฏ;ปฏัก;to pa-tak;goad, javelin;t;t;[t];[t̚];mid;;;;t;Dead;plosive;
U+0E10;Consonant;16;ฐ;ฐาน;tho than;pedestal;th;t;[tʰ];[t̚];high;;;;t;Dead;plosive;
U+0E11;Consonant;17;ฑ;มณโฑ;tho montho;Montho, character from Ramayana;th;t;[tʰ];[t̚];low;;;;t;Dead;plosive;
U+0E12;Consonant;18;ฒ;ผู้เฒ่า;tho phu-thao;elder;th;t;[tʰ];[t̚];low;;;;t;Dead;plosive;
U+0E13;Consonant;19;ณ;เณร;no nen;samanera;n;n;[n];[n];low;;;;n;Live;sonorant;
U+0E14;Consonant;20;ด;เด็ก;do dek;child;d;t;[d];[t̚];mid;;;;t;Dead;plosive;
U+0E15;Consonant;21;ต;เต่า;to tao;turtle;t;t;[t];[t̚];mid;;;;t;Dead;plosive;
U+0E16;Consonant;22;ถ;ถุง;tho thung;sack;th;t;[tʰ];[t̚];high;;;;t;Dead;plosive;
U+0E17;Consonant;23;ท;ทหาร;tho thahan;soldier;th;t;[tʰ];[t̚];low;;;;t;Dead;plosive;
U+0E18;Consonant;24;ธ;ธง;tho thong;flag;th;t;[tʰ];[t̚];low;;;;t;Dead;plosive;
U+0E19;Consonant;25;น;หนู;no nu;mouse;n;n;[n];[n];low;;;;n;Live;sonorant;
U+0E1A;Consonant;26;บ;ใบไม้;bo baimai;leaf;b;p;[b];[p̚];mid;;;;p;Dead;plosive;
U+0E1B;Consonant;27;ป;ปลา;po pla;fish;p;p;[p];[p̚];mid;;;;p;Dead;plosive;
U+0E1C;Consonant;28;ผ;ผึ้ง;pho phueng;bee;ph; –;[pʰ];–;high;;;;Invalid;Invalid;Invalid;
U+0E1D;Consonant;29;ฝ;ฝา;fo fa;lid;f; –;[f];–;high;;;;Invalid;Invalid;Invalid;
U+0E1E;Consonant;30;พ;พาน;pho phan;phan;ph;p;[pʰ];[p̚];low;;;;p;Dead;plosive;
U+0E1F;Consonant;31;ฟ;ฟัน;fo fan;teeth;f;p;[f];[p̚];low;;;;p;Dead;plosive;
U+0E20;Consonant;32;ภ;สำเภา;pho sam-phao;Junk;ph;p;[pʰ];[p̚];low;;;;UNKNOWN;;;
U+0E21;Consonant;33;ม;ม้า;mo ma;horse;m;m;[m];[m];low;;;;m;Live;sonorant;
U+0E22;Consonant;34;ย;ยักษ์;yo yak;giant, yaksha;y;– ;[j];– ;low;;;;y;Live;approximant;
